index,repo_name,code-smells_ncloc,bug-fix-commits_ratio,avg_bug-issue_time,cognitive-complexity_ncloc,code_smells,cognitive_complexity,ncloc,any-type-count_ncloc
35,vriteio/vrite,0.0080060735730554,0.5694444444444444,inf,0.0830630133204499,232.0,2407.0,28978.0,0.0018289737041893
36,aeharding/voyager,0.0050268479378498,0.1014492753623188,192427.77049180327,0.0765451845081686,88.0,1340.0,17506.0,0.0
37,KnowledgeCanvas/knowledge,0.0091846409101682,0.1692307692307692,3452303.9375,0.1020976534723868,155.0,1723.0,16876.0,0.0174211898554159
38,getstation/desktop-app,0.0235210432720806,0.4,4590857.542857143,0.0532068761114404,992.0,2244.0,42175.0,0.0225726141078838
39,upupming/new-grad-positions,0.000823723228995,0.1403508771929824,inf,0.0321252059308072,2.0,78.0,2428.0,0.0016474464579901
40,42atomys/stud42,0.0056915807560137,0.6052631578947368,2430898.0434782607,0.0410223367697594,53.0,382.0,9312.0,0.0017182130584192
41,clerkinc/t3-turbo-and-clerk,0.0159857904085257,0.1304347826086956,763125.56,0.0301953818827708,9.0,17.0,563.0,0.0
42,remix-run/indie-stack,0.0007374631268436,0.2702702702702703,3277917.7164179105,0.0663716814159292,1.0,90.0,1356.0,0.0
43,deiucanta/chatpad,0.0063694267515923,0.1818181818181818,inf,0.0708598726114649,16.0,178.0,2512.0,0.0055732484076433
44,stonith404/pingvin-share,0.0038711947914833,0.484375,856074.5892857143,0.0409994721098011,44.0,466.0,11366.0,0.0007918352982579
45,Kuingsmile/PicList,0.0071530222455246,0.3269230769230769,116076.76,0.1290914538236836,191.0,3447.0,26702.0,0.0137817391955658
46,dyrector-io/dyrectorio,0.0072791063435092,0.5535714285714286,1409360.375,0.0696455216356817,361.0,3454.0,49594.0,0.0041738920030648
47,bamlab/flashlight,0.0065693430656934,0.5227272727272727,4446721.8125,0.0550364963503649,45.0,377.0,6850.0,0.0002919708029197
48,skynexui/components,0.0075949367088607,0.4571428571428571,inf,0.0240506329113924,18.0,57.0,2370.0,0.0
49,juliusmarminge/acme-corp,0.0066201678685423,0.3863636363636363,656506.0,0.0286085825747724,56.0,242.0,8459.0,0.0
50,revoltchat/desktop,0.0048543689320388,0.40625,5146614.575757576,0.1820388349514563,2.0,75.0,412.0,0.0072815533980582
51,dust-tt/dust,0.0091633010744494,0.3023255813953488,1141536.0,0.1068353272879676,481.0,5608.0,52492.0,0.0020003048083517
52,leerob/on-demand-isr,0.0058365758754863,0.2,875097.6282722513,0.0136186770428015,3.0,7.0,514.0,0.0097276264591439
53,OrJDev/create-jd-app,0.0048979591836734,0.303030303030303,1017637.5454545454,0.0995918367346938,12.0,244.0,2450.0,0.0
54,vendetta-mod/Vendetta,0.0182872435325602,0.1758241758241758,748140.75,0.1369313113291703,41.0,307.0,2242.0,0.0379125780553077
55,nocode-js/sequential-workflow-designer,0.0039123630672926,0.109375,1003953.5,0.0688575899843505,30.0,528.0,7668.0,0.0
56,cosmograph-org/cosmos,0.0026560424966799,0.0853658536585365,279381.0,0.0358565737051792,2.0,27.0,753.0,0.0
57,langchain-ai/auto-evaluator,0.010031919744642,0.2222222222222222,131440.66666666666,0.0401276789785681,22.0,88.0,2193.0,0.0031919744642042
58,Memmy-App/memmy,0.0043058981834492,0.4461538461538462,181808.5580357143,0.0474545862300964,96.0,1058.0,22295.0,0.0054272258353891
59,burhan-syed/troddit,0.0345816241012747,0.2790697674418604,2387985.433333333,0.189449075911958,784.0,4295.0,22671.0,0.0101010101010101
60,divriots/jampack,0.0159806295399515,0.2162162162162162,inf,0.1796610169491525,33.0,371.0,2065.0,0.0038740920096852
61,antvis/G6VP,0.01001369798309,0.4861111111111111,1279666.1666666667,0.0579094043739077,212.0,1226.0,21171.0,0.035378583911955
62,hadmean/hadmean,0.0023503783535886,0.15,inf,0.0222617136742337,123.0,1165.0,52332.0,0.0011274172590384
63,mirror-xyz/degen,0.0033679894567286,0.2142857142857142,inf,0.0329477229462586,23.0,225.0,6829.0,0.0011714745936447
64,FightingDesign/fighting-design,0.0057657459777057,0.2465753424657534,2365499.25,0.0434901982318379,105.0,792.0,18211.0,0.0
65,diego3g/rsxp-2023,0.005930318754633,0.1428571428571428,inf,0.0303928836174944,8.0,41.0,1349.0,0.0
66,mui/mui-toolpad,0.0075688164761183,0.073170731707317,1651020.8791946308,0.0934948014181571,190.0,2347.0,25103.0,0.0088834003903915
67,different-ai/embedbase,,0.4861111111111111,1027088.6363636364,,,,,
68,wslyvh/nexth,0.007103825136612,0.1,inf,0.0715846994535519,13.0,131.0,1830.0,0.0021857923497267
69,mdSilo/mdSilo-app,0.0140604218126543,0.1166666666666666,3368098.1666666665,0.1187535626068782,74.0,625.0,5263.0,0.0
70,nombersDev/casemove,0.0116328643644558,0.2321428571428571,1314238.8461538462,0.0951336865826177,191.0,1562.0,16419.0,0.0099884280406845
71,adrianhajdin/project_nextjs13_flexibble,0.0096711798839458,0.1237113402061855,148754.4,0.0399742101869761,15.0,62.0,1551.0,0.0012894906511927
72,benallfree/pockethost,0.0196139476961394,0.3484848484848485,8134350.821428572,0.0893524283935242,126.0,574.0,6424.0,0.011986301369863
73,pingcap/ossinsight-lite,0.0136882129277566,0.5882352941176471,786189.5454545454,0.0876425855513308,144.0,922.0,10520.0,0.0155893536121673
74,mantou132/nesbox,0.0097263062655507,0.0114942528735632,904460.8333333334,0.0976023524089572,172.0,1726.0,17684.0,0.0033928975344944
75,remix-run/grunge-stack,0.0,0.3023255813953488,4421491.692307692,0.060965954077593,0.0,77.0,1263.0,0.0015835312747426
76,premAI-io/prem-app,0.0104863221884498,0.3283582089552239,425210.82352941175,0.0281155015197568,69.0,185.0,6580.0,0.0004559270516717
77,kiliman/remix-typedjson,0.0145985401459854,0.064516129032258,775449.4,0.1255474452554744,10.0,86.0,685.0,0.0087591240875912
78,liaoliao666/v2ex,0.0044313146233382,0.313953488372093,inf,0.0604270175909762,33.0,450.0,7447.0,0.0053712904525312
79,LedgerHQ/ledger-live,,0.6567164179104478,2763913.4782608696,,,,,
