index,repo_name,code-smells_ncloc,bug-fix-commits_ratio,avg_bug-issue_time,cognitive-complexity_ncloc
23,DemocracyOS/democracyos,0.011454949564028,0.1130653266331658,2111223.6728971964,0.1284550065538268
24,fossasia/pslab-desktop,0.0063157894736842,0.0416088765603328,1104058.0212765958,0.0357085020242914
25,auchenberg/chrome-devtools-app,0.0293389139124819,0.032258064516129,2171669.5,0.268587170662721
26,vivek9patel/vivek9patel.github.io,0.0068441064638783,0.1298701298701298,inf,0.091254752851711
27,fossasia/knitweb,0.0732924892216927,0.0131578947368421,inf,0.3430905377808033
28,Parallels/rq-dashboard,0.0161114739821467,0.0536912751677852,5632927.944444444,0.4384933594600479
29,stephomi/sculptgl,0.0121223424095486,0.0359281437125748,752441.2631578947,0.219041402461768
30,snorpey/jpg-glitch,0.0289414563235099,0.0809248554913294,inf,0.4658385093167702
31,blenderskool/blaze,0.0183887915936952,0.0130548302872062,6449266.916666667,0.0950087565674255
32,writethedocs/www,0.0306587645315705,0.0001724732666436,4888073.666666667,3.2020743104627307
33,strongloop/strong-pm,0.0243816254416961,0.116504854368932,5265945.428571428,0.0865724381625441
34,zulip/zulip-mobile,0.0053917368498046,0.1039825841977205,4403057.986013986,0.0369898225742408
35,gbraadnl/gauth,0.0821445006902899,0.0413793103448275,3434227.285714286,0.3870225494707777
36,phonegap/phonegap-app-desktop,0.0225675175730669,0.0533898305084745,2282675.8388888887,0.2079171291157972
37,webpack/analyse,0.0127931769722814,0.1818181818181818,inf,0.1332622601279317
38,HashNuke/mogo-chat,0.0302581755593803,0.0,inf,1.3140447504302926
39,lonelyplanet/rizzo,0.0068053665175967,0.0238792520838026,1137437.2857142857,0.071521161449219
40,kiprotect/klaro,0.0187600091512239,0.0307898259705488,1454867.53125,0.2084191260581102
41,realdennis/md2pdf,0.0160513643659711,0.0923076923076923,inf,0.0304975922953451
42,code-dot-org/code-dot-org,0.0135835596984733,0.0769230769230769,inf,0.3098111743190468
43,Kilian/fromscratch,0.0014892032762472,0.0902366863905325,7046792.25,0.0930752047654504
44,z-------------/CPod,0.033126660761736,0.075098814229249,420738.5151515152,0.3452612931798051
45,firefox-devtools/profiler,0.0065622774138555,0.0538728897715988,4272916.2375,0.0650155883280204
46,30-seconds/30-seconds-web,0.0094500094500094,0.0442622950819672,795202.7666666667,0.0773010773010773
47,whiteout-io/mail,0.0184129767645769,0.1201157742402315,3035861.75,0.7507672073651908
48,BlocklyDuino/BlocklyDuino,0.0123112722549921,0.1954887218045112,inf,0.0880188321878889
49,WebbyLab/itsquiz-wall,0.0119845622587852,0.0662650602409638,inf,0.0786106032906764
50,nitrotasks/nitro,0.0117053673391701,0.0439164866810655,2213071.3076923075,0.1434145413018652
51,jeremyckahn/stylie,0.0279276039793839,0.0330434782608695,605721.8,2.2525470454273044
52,tpiros/advanced-chat,0.0875202593192868,0.1136363636363636,inf,0.3468395461912479
53,aholachek/bundle-wizard,0.0349805663520266,0.1889763779527559,inf,0.1599111604664075
54,stayawayinesctec/stayaway-app,0.009169411555239,0.1041666666666666,inf,0.0340959672393839
55,jappix/jappix,0.0217707584707882,0.4292408622305529,2609508.9479166665,0.7532997949131448
56,pascalopitz/unoffical-sonos-controller-for-linux,0.0114711447492904,0.2024922118380062,inf,0.0804162724692526
57,flackr/circ,0.0447541717281503,0.1809954751131221,3248914.4814814813,0.2465315516910683
58,cgrossde/Pullover,0.0108481262327416,0.1372549019607843,7530847.724137931,0.1393819855358317
59,mithi/hexapod,0.0090146750524109,0.1452784503631961,303526.78571428574,0.0490566037735849
60,teamxenox/caligator,0.0162016201620162,0.064516129032258,13019797.42857143,0.1602160216021602
61,18F/checklistomania,0.0090361445783132,0.1393442622950819,inf,0.0644578313253012
62,artzub/GitHubVisualizer,0.0192742257078293,0.4683544303797468,903958.0,0.1946032168018077
63,ttencate/jfxr,0.0152641878669275,0.0549450549450549,2141135.0,0.1729941291585127
64,jsha/blocktogether,0.0595258695275999,0.044041450777202,3491520.9285714286,0.1816923343138951
65,cleanflight/cleanflight-configurator,0.025677553856845,0.151565995525727,2128469.5483870967,0.3471160528144544
66,larvalabs/pullup,0.0453707968678028,0.0761245674740484,1523593.3333333333,0.2369875633348687
