index,repo_name,ncloc,code_smells,any-type_count,cognitive_complexity,framework,bug_issues_count,bug-fix_commits_count,commits_count
88,GamerKingFaiz/shouldiplay,736.0,3.0,,40.0,,,,
89,ianb/llm-garden,16341.0,177.0,,2400.0,,,,
90,leomcelroy/svg-pcb,31018.0,2282.0,,9228.0,,,,
91,seths10/Quotes-Generator,6921.0,3.0,,4.0,,,,
92,cyboholics/portfolioshop,4374.0,54.0,,118.0,,,,
93,whitespider-dev/whitespider,100842.0,6702.0,,22715.0,,,,
94,leolee9086/cc-image-tag-new,73445.0,4133.0,,60205.0,,,,
95,NovaAppsInc/fracital-proxy,60164.0,8935.0,,42512.0,,,,
96,spandan114/Crowdfunding-DAPP,1314.0,51.0,,69.0,,,,
97,terwer/siyuan-plugin-publisher,10344.0,26.0,,711.0,,,,
98,zoom/zoomapps-sample-js,526.0,0.0,,50.0,,,,
99,GrabBits/GrabBits_Website,4819.0,63.0,,194.0,,,,
100,shohan-pherones/euphoria-ecommerce,2231.0,5.0,,64.0,,,,
101,developerforce/salesforce-slack-starter-kit,1199.0,3.0,,73.0,,,,
